1|A directed graph has edges with a specified direction.|200|1
2|A stack can be implemented using a dynamic array.|200|1
3|A binary search tree can have more than one valid inorder traversal.|240|1
4|A breadth-first search algorithm can be used to find the shortest path in a graph.|100|1
5|In C++, a queue can be implemented using an array or a linked list.|0|1
6|A linked list can be used to implement a stack.|200|1
7|A stack can be implemented using a dynamic array.|200|1
8|A graph with no cycles is called a connected graph.|300|1
9|A spanning tree of a graph contains all the edges of the original graph.|200|1
10|In C++, a queue can be implemented using an array or a linked list.|100|1
1|A spanning tree of a graph contains the minimum number of edges required to connect all vertices.|0|2
2|A binary heap is a complete binary tree with the heap property.|200|2
3|A binary heap can be used to efficiently implement Kruskal's algorithm for minimum spanning trees.|200|2
4|A queue can be implemented using a doubly linked list.|300|2
5|A graph with no cycles is called an acyclic graph.|300|2
6|A queue can be implemented using a doubly linked list.|300|2
7|A graph with no cycles is called a directed acyclic graph (DAG).|300|2
8|Binary search trees guarantee constant time insertion and deletion operations.|0|2
9|A binary heap is a complete binary tree with the heap property.|200|2
10|A balanced binary search tree guarantees O(1) time complexity for most operations.|0|2
1|In C++, a queue can only be implemented using a linked list.|0|3
2|Stacks follow the Last In First Out (LIFO) principle.|200|3
3|A binary heap can be represented using an array.|100|3
4|A binary search tree guarantees O(N) time complexity for insertion and deletion operations.|0|3
5|Binary search trees guarantee constant time insertion and deletion operations.|0|3
6|A hash table guarantees O(1) time complexity for search operations.|200|3
7|A trie is a type of binary search tree.|0|3
8|A graph with no cycles and is connected is called a tree.|100|3
9|A binary tree can have at most two children per node.|100|3
10|A stack can be used to implement a linked list.|0|3
